corp_label,entity_type,group,corp_code,corp_name,bsns_year,reprt_code,reprt_nm,accounting_std_inferred,bsis_posesn_stock_co,bsis_posesn_stock_qota_rt,corp_cls,inference_rule,nm,relate,rm,stlm_dt,stock_knd,trmend_posesn_stock_co,trmend_posesn_stock_qota_rt,value_source,source_endpoint,source_params,rcept_no,rcept_no_source,fetched_at,status,call_id,raw_path,raw_sha256,data_age_days
ABL생명보험,생보,보험자회사,00148391,에이비엘생명보험,2022,11011,사업보고서,IFRS4,"3,106,736",100.00,E,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",Anbang Group Holdings Co. Limited,최대주주 본인,-,2022-12-31,보통주,"3,106,736",100.00,api,hyslrSttus,"{""bsns_year"": ""2022"", ""corp_code"": ""00148391"", ""reprt_code"": ""11011""}",20230814002562,api_row,2026-08-31T16:06:46+09:00,000,run_20260831_152517_1115,raw/hyslrSttus/00148391_2022_11011.json,9b9868de3d885556174cedfa8f8cd17687737852ff2805c5c79a168534bb8e08,21
ABL생명보험,생보,보험자회사,00148391,에이비엘생명보험,2022,11011,사업보고서,IFRS4,"3,106,736",100.00,E,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",계,,-,2022-12-31,보통주,"3,106,736",100.00,api,hyslrSttus,"{""bsns_year"": ""2022"", ""corp_code"": ""00148391"", ""reprt_code"": ""11011""}",20230814002562,api_row,2026-08-31T16:06:46+09:00,000,run_20260831_152517_1115,raw/hyslrSttus/00148391_2022_11011.json,9b9868de3d885556174cedfa8f8cd17687737852ff2805c5c79a168534bb8e08,21
ABL생명보험,생보,보험자회사,00148391,에이비엘생명보험,2022,11011,사업보고서,IFRS4,-,-,E,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",계,,-,2022-12-31,-,-,-,api,hyslrSttus,"{""bsns_year"": ""2022"", ""corp_code"": ""00148391"", ""reprt_code"": ""11011""}",20230814002562,api_row,2026-08-31T16:06:46+09:00,000,run_20260831_152517_1115,raw/hyslrSttus/00148391_2022_11011.json,9b9868de3d885556174cedfa8f8cd17687737852ff2805c5c79a168534bb8e08,21
ABL생명보험,생보,보험자회사,00148391,에이비엘생명보험,2023,11011,사업보고서,IFRS17,"3,106,736",100.00,E,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",Anbang Group Holdings Co. Limited,최대주주 본인,-,2023-12-31,보통주,"3,106,736",100.00,api,hyslrSttus,"{""bsns_year"": ""2023"", ""corp_code"": ""00148391"", ""reprt_code"": ""11011""}",20240430000559,api_row,2026-08-31T16:06:56+09:00,000,run_20260831_152517_1124,raw/hyslrSttus/00148391_2023_11011.json,b0d4b56cc2070e20d47179850b028f1690a2439a073c220a7632676b715d5d37,21
ABL생명보험,생보,보험자회사,00148391,에이비엘생명보험,2023,11011,사업보고서,IFRS17,"3,106,736",100.00,E,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",계,,-,2023-12-31,보통주,"3,106,736",100.00,api,hyslrSttus,"{""bsns_year"": ""2023"", ""corp_code"": ""00148391"", ""reprt_code"": ""11011""}",20240430000559,api_row,2026-08-31T16:06:56+09:00,000,run_20260831_152517_1124,raw/hyslrSttus/00148391_2023_11011.json,b0d4b56cc2070e20d47179850b028f1690a2439a073c220a7632676b715d5d37,21
ABL생명보험,생보,보험자회사,00148391,에이비엘생명보험,2023,11011,사업보고서,IFRS17,-,-,E,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",계,,-,2023-12-31,-,-,-,api,hyslrSttus,"{""bsns_year"": ""2023"", ""corp_code"": ""00148391"", ""reprt_code"": ""11011""}",20240430000559,api_row,2026-08-31T16:06:56+09:00,000,run_20260831_152517_1124,raw/hyslrSttus/00148391_2023_11011.json,b0d4b56cc2070e20d47179850b028f1690a2439a073c220a7632676b715d5d37,21
ABL생명보험,생보,보험자회사,00148391,에이비엘생명보험,2024,11011,사업보고서,IFRS17,"3,106,736",100.00,E,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",Anbang Group Holdings Co. Limited,최대주주 본인,-,2024-12-31,보통주,"3,106,736",100.00,api,hyslrSttus,"{""bsns_year"": ""2024"", ""corp_code"": ""00148391"", ""reprt_code"": ""11011""}",20250514001000,api_row,2026-08-31T16:07:24+09:00,000,run_20260831_152517_1133,raw/hyslrSttus/00148391_2024_11011.json,31491eb3d9bda181154bf786e6b7e52a9fa2b3fb49c874d35378764918ceb06d,21
ABL생명보험,생보,보험자회사,00148391,에이비엘생명보험,2024,11011,사업보고서,IFRS17,"3,106,736",100.00,E,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",계,,-,2024-12-31,보통주,"3,106,736",100.00,api,hyslrSttus,"{""bsns_year"": ""2024"", ""corp_code"": ""00148391"", ""reprt_code"": ""11011""}",20250514001000,api_row,2026-08-31T16:07:24+09:00,000,run_20260831_152517_1133,raw/hyslrSttus/00148391_2024_11011.json,31491eb3d9bda181154bf786e6b7e52a9fa2b3fb49c874d35378764918ceb06d,21
ABL생명보험,생보,보험자회사,00148391,에이비엘생명보험,2024,11011,사업보고서,IFRS17,-,-,E,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",계,,-,2024-12-31,-,-,-,api,hyslrSttus,"{""bsns_year"": ""2024"", ""corp_code"": ""00148391"", ""reprt_code"": ""11011""}",20250514001000,api_row,2026-08-31T16:07:24+09:00,000,run_20260831_152517_1133,raw/hyslrSttus/00148391_2024_11011.json,31491eb3d9bda181154bf786e6b7e52a9fa2b3fb49c874d35378764918ceb06d,21
ABL생명보험,생보,보험자회사,00148391,에이비엘생명보험,2025,11011,사업보고서,IFRS17,"3,106,736",100.00,E,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",Anbang Group Holdings Co. Limited,최대주주,-,2025-12-31,보통주,0,0.00,api,hyslrSttus,"{""bsns_year"": ""2025"", ""corp_code"": ""00148391"", ""reprt_code"": ""11011""}",20260331003080,api_row,2026-08-31T16:07:40+09:00,000,run_20260831_152517_1141,raw/hyslrSttus/00148391_2025_11011.json,0f51b78676e8b33b8718be0e13b293561a98e56c28504dada8743ede3bdef0e4,21
