parent_label,parent_corp_code,child_label,child_name,child_corp_code,child_match_method,bsns_year,reprt_code,trmend_qota_rt,bsis_qota_rt,first_acqs_de,first_acqs_amount,invstmnt_purps,parent_entity_type,stlm_dt,trmend_acntbk_amount,trmend_qy,value_source,source_endpoint,source_params,rcept_no,rcept_no_source,fetched_at,status,call_id,raw_path,raw_sha256,data_age_days
ABL생명보험,00148391,,Macquarie Korea Infrastructure Fund,,unmatched,2022,11011,1.32,3.89,2008.10.16,"136,000,000",단순투자,생보,2022-12-31,"59,094,000,000","5,347,833",api,otrCprInvstmntSttus,"{""bsns_year"": ""2022"", ""corp_code"": ""00148391"", ""reprt_code"": ""11011""}",20230814002562,api_row,2026-08-31T16:06:45+09:00,000,run_20260831_152517_1114,raw/otrCprInvstmntSttus/00148391_2022_11011.json,465ec83e5419abcf5a299c46ae892593e520b0952c43386a8b6da5c60ba3b110,16
ABL생명보험,00148391,,발해인프라투융자회사,,unmatched,2022,11011,8.40,8.40,2006.01.24,"840,000,000",단순투자,생보,2022-12-31,"60,178,000,000","9,559,672",api,otrCprInvstmntSttus,"{""bsns_year"": ""2022"", ""corp_code"": ""00148391"", ""reprt_code"": ""11011""}",20230814002562,api_row,2026-08-31T16:06:45+09:00,000,run_20260831_152517_1114,raw/otrCprInvstmntSttus/00148391_2022_11011.json,465ec83e5419abcf5a299c46ae892593e520b0952c43386a8b6da5c60ba3b110,16
ABL생명보험,00148391,,한국비티엘일호투융자회사,,unmatched,2022,11011,2.78,2.78,2007.09.17,"2,639,000,000",단순투자,생보,2022-12-31,"8,973,000,000","1,831,035",api,otrCprInvstmntSttus,"{""bsns_year"": ""2022"", ""corp_code"": ""00148391"", ""reprt_code"": ""11011""}",20230814002562,api_row,2026-08-31T16:06:45+09:00,000,run_20260831_152517_1114,raw/otrCprInvstmntSttus/00148391_2022_11011.json,465ec83e5419abcf5a299c46ae892593e520b0952c43386a8b6da5c60ba3b110,16
ABL생명보험,00148391,,합계,,unmatched,2022,11011,-,-,-,-,-,생보,2022-12-31,"128,244,000,000","16,738,540",api,otrCprInvstmntSttus,"{""bsns_year"": ""2022"", ""corp_code"": ""00148391"", ""reprt_code"": ""11011""}",20230814002562,api_row,2026-08-31T16:06:45+09:00,000,run_20260831_152517_1114,raw/otrCprInvstmntSttus/00148391_2022_11011.json,465ec83e5419abcf5a299c46ae892593e520b0952c43386a8b6da5c60ba3b110,16
ABL생명보험,00148391,,Macquarie Korea Infrastructure Fund,,unmatched,2023,11011,-,1.32,2008.10.16,"136,000,000",단순투자,생보,2023-12-31,-,-,api,otrCprInvstmntSttus,"{""bsns_year"": ""2023"", ""corp_code"": ""00148391"", ""reprt_code"": ""11011""}",20240430000559,api_row,2026-08-31T16:06:55+09:00,000,run_20260831_152517_1123,raw/otrCprInvstmntSttus/00148391_2023_11011.json,a83f2dbadf49c693340cbdfc5a9a53d3db7ff29ffbd37a90e4374bc38644d278,16
ABL생명보험,00148391,,발해인프라투융자회사,,unmatched,2023,11011,8.40,8.40,2006.01.24,"840,000,000",단순투자,생보,2023-12-31,"57,116,000,000","9,559,672",api,otrCprInvstmntSttus,"{""bsns_year"": ""2023"", ""corp_code"": ""00148391"", ""reprt_code"": ""11011""}",20240430000559,api_row,2026-08-31T16:06:55+09:00,000,run_20260831_152517_1123,raw/otrCprInvstmntSttus/00148391_2023_11011.json,a83f2dbadf49c693340cbdfc5a9a53d3db7ff29ffbd37a90e4374bc38644d278,16
ABL생명보험,00148391,,한국비티엘일호투융자회사,,unmatched,2023,11011,2.78,2.78,2007.09.17,"2,639,000,000",단순투자,생보,2023-12-31,"8,430,000,000","1,831,035",api,otrCprInvstmntSttus,"{""bsns_year"": ""2023"", ""corp_code"": ""00148391"", ""reprt_code"": ""11011""}",20240430000559,api_row,2026-08-31T16:06:55+09:00,000,run_20260831_152517_1123,raw/otrCprInvstmntSttus/00148391_2023_11011.json,a83f2dbadf49c693340cbdfc5a9a53d3db7ff29ffbd37a90e4374bc38644d278,16
ABL생명보험,00148391,,합계,,unmatched,2023,11011,-,-,-,-,-,생보,2023-12-31,"65,546,000,000","11,390,707",api,otrCprInvstmntSttus,"{""bsns_year"": ""2023"", ""corp_code"": ""00148391"", ""reprt_code"": ""11011""}",20240430000559,api_row,2026-08-31T16:06:55+09:00,000,run_20260831_152517_1123,raw/otrCprInvstmntSttus/00148391_2023_11011.json,a83f2dbadf49c693340cbdfc5a9a53d3db7ff29ffbd37a90e4374bc38644d278,16
ABL생명보험,00148391,,발해인프라투융자회사(비상장),,unmatched,2024,11011,-,8.40,2006.01.24,"840,000,000",단순투자,생보,2024-12-31,-,-,api,otrCprInvstmntSttus,"{""bsns_year"": ""2024"", ""corp_code"": ""00148391"", ""reprt_code"": ""11011""}",20250514001000,api_row,2026-08-31T16:07:23+09:00,000,run_20260831_152517_1132,raw/otrCprInvstmntSttus/00148391_2024_11011.json,534c9d6b500d515422f85c1e2d9319cc7e64174e13c45bdb26b17e2be2710001,16
ABL생명보험,00148391,,발해인프라투융자회사(상장),,unmatched,2024,11011,8.40,-,2024.11.29,-,단순투자,생보,2024-12-31,"44,510,000,000","5,735,804",api,otrCprInvstmntSttus,"{""bsns_year"": ""2024"", ""corp_code"": ""00148391"", ""reprt_code"": ""11011""}",20250514001000,api_row,2026-08-31T16:07:23+09:00,000,run_20260831_152517_1132,raw/otrCprInvstmntSttus/00148391_2024_11011.json,534c9d6b500d515422f85c1e2d9319cc7e64174e13c45bdb26b17e2be2710001,16
