label,corp_code,corp_name_dart,corp_eng_name_dart,stock_code,entity_type,group,status_note,active_from,active_to,est_dt,jurir_no,acc_mt,corp_cls,resolved_by,identity_check,identity_verified_by,modify_date,tried_aliases,corp_code_hint,expect_est_dt,note,value_source,corpcode_fetched_at,source_endpoint,source_params,rcept_no,rcept_no_source,fetched_at,status,call_id,raw_path,raw_sha256,cached,cache_age_days
신한지주,00382199,신한지주,"SHINHAN FINANCIAL GROUP CO.,LTD",055550,지주,지주,현존,20010901,,,,,,stock_code,미검증,,20250908,신한지주|신한지주|신한금융지주회사|주식회사신한금융지주회사,00382199,20010901,국내 최초 민간 주도 금융지주,api+config,2026-08-31T15:04:51+09:00,corpCode,{},,none,2026-08-31T15:04:51+09:00,000,run_20260831_150050_0001,raw/corpCode/corpCode.zip,2973243e1eef663e3654b3f9cb971090f047749ae74736b4ad0b80e7c1ee7e82,Y,10
KB금융,00688996,KB금융,KB Financial Group Inc.,105560,지주,지주,현존,20080929,,,,,,stock_code,미검증,,20250108,KB금융|KB금융|KB금융지주|케이비금융|케이비금융지주,,20080929,,api+config,2026-08-31T15:04:51+09:00,corpCode,{},,none,2026-08-31T15:04:51+09:00,000,run_20260831_150050_0001,raw/corpCode/corpCode.zip,2973243e1eef663e3654b3f9cb971090f047749ae74736b4ad0b80e7c1ee7e82,Y,10
iM금융지주,00878915,iM금융지주,"iM Financial Group Co., Ltd.",139130,지주,지주,현존,20110517,,,,,,stock_code,미검증,,20250415,iM금융지주|iM금융지주|아이엠금융지주|DGB금융지주|디지비금융지주,,20110517,2025-03-26 DGB금융지주 → iM금융지주 개명 (자회사는 2024 선행 개명),api+config,2026-08-31T15:04:51+09:00,corpCode,{},,none,2026-08-31T15:04:51+09:00,000,run_20260831_150050_0001,raw/corpCode/corpCode.zip,2973243e1eef663e3654b3f9cb971090f047749ae74736b4ad0b80e7c1ee7e82,Y,10
우리금융지주,01350869,우리금융지주,Woori Financial Group Inc.,316140,지주,지주,현존,20190111,,,,,,stock_code,미검증,,20230327,우리금융지주|우리금융지주,,20190111,2019 신설 지주. 구 우리금융지주(2001~2014)와 동명이므로 반드시 종목코드로 매칭,api+config,2026-08-31T15:04:51+09:00,corpCode,{},,none,2026-08-31T15:04:51+09:00,000,run_20260831_150050_0001,raw/corpCode/corpCode.zip,2973243e1eef663e3654b3f9cb971090f047749ae74736b4ad0b80e7c1ee7e82,Y,10
한화생명보험,00113058,한화생명,"HANWHA LIFE INSURANCE CO., LTD.",088350,생보,지주,현존,,,,,,,stock_code,미검증,,20250806,한화생명보험|한화생명|한화생명보험|대한생명보험,00113058,,금융지주회사법상 지주회사가 아니다. 보험업법상 자회사 소유 구조. 보험지주 벤치마크로만 사용. 2016 한화손해보험 지분 취득 연도를 추가 수집,api+config,2026-08-31T15:04:51+09:00,corpCode,{},,none,2026-08-31T15:04:51+09:00,000,run_20260831_150050_0001,raw/corpCode/corpCode.zip,2973243e1eef663e3654b3f9cb971090f047749ae74736b4ad0b80e7c1ee7e82,Y,10
신한라이프생명보험,00137517,신한라이프생명보험,"Shinhan Life Insurance Co., Ltd.",,생보,보험자회사,현존,,,,,,,corp_name_exact,미검증,,20260316,신한라이프생명보험|신한라이프생명보험|신한생명보험,,,2021-07-01 신한생명(존속) + 오렌지라이프(소멸). corp_code 는 구 신한생명 것,api+config,2026-08-31T15:04:51+09:00,corpCode,{},,none,2026-08-31T15:04:51+09:00,000,run_20260831_150050_0001,raw/corpCode/corpCode.zip,2973243e1eef663e3654b3f9cb971090f047749ae74736b4ad0b80e7c1ee7e82,Y,10
신한이지손해보험,00499426,신한이지손해보험,"Shinhan EZ General Insurance Co., Ltd.",,손보,보험자회사,현존,,,,,,,corp_name_exact,미검증,,20240327,신한이지손해보험|신한이지손해보험|신한EZ손해보험|비엔피파리바카디프손해보험|BNP파리바카디프손해보험|카디프손해보험,,,사업보고서 미제출(감사보고서만)일 가능성 — Phase 0-2 가 판정,api+config,2026-08-31T15:04:51+09:00,corpCode,{},,none,2026-08-31T15:04:51+09:00,000,run_20260831_150050_0001,raw/corpCode/corpCode.zip,2973243e1eef663e3654b3f9cb971090f047749ae74736b4ad0b80e7c1ee7e82,Y,10
KB손해보험,00120216,KB손해보험,"KB Insurance Co., Ltd",002550,손보,보험자회사,상장폐지,,,,,,,corp_name_exact,미검증,,20240221,KB손해보험|KB손해보험|케이비손해보험|LIG손해보험|엘아이지손해보험|LG화재해상보험,,,"2015 LIG손보 → KB손보 개명, 2017 완전자회사화로 상장폐지",api+config,2026-08-31T15:04:51+09:00,corpCode,{},,none,2026-08-31T15:04:51+09:00,000,run_20260831_150050_0001,raw/corpCode/corpCode.zip,2973243e1eef663e3654b3f9cb971090f047749ae74736b4ad0b80e7c1ee7e82,Y,10
KB라이프생명보험,00160393,케이비라이프생명보험,"KB Life Insurance Co.,Ltd",,생보,보험자회사,현존,,,,,,,alias:케이비라이프생명보험,미검증,,20260826,KB라이프생명보험|KB라이프생명보험|케이비라이프생명보험|푸르덴셜생명보험,,,2023-01-01 푸르덴셜생명(존속) + KB생명(소멸). corp_code 는 구 푸르덴셜 것,api+config,2026-08-31T15:04:51+09:00,corpCode,{},,none,2026-08-31T15:04:51+09:00,000,run_20260831_150050_0001,raw/corpCode/corpCode.zip,2973243e1eef663e3654b3f9cb971090f047749ae74736b4ad0b80e7c1ee7e82,Y,10
iM라이프생명보험,00124063,아이엠라이프생명보험,"iM Life Insurance Co., Ltd.",,생보,보험자회사,현존,,,,,,,alias:아이엠라이프생명보험,미검증,,20250722,iM라이프생명보험|iM라이프생명보험|아이엠라이프생명보험|DGB생명보험|디지비생명보험|우리아비바생명보험|LIG생명보험|럭키생명보험,,,2024-06-05 DGB생명 → iM라이프 개명,api+config,2026-08-31T15:04:51+09:00,corpCode,{},,none,2026-08-31T15:04:51+09:00,000,run_20260831_150050_0001,raw/corpCode/corpCode.zip,2973243e1eef663e3654b3f9cb971090f047749ae74736b4ad0b80e7c1ee7e82,Y,10
