phase,endpoint,params_json,raw_path
resolve,corpCode,{},raw/corpCode/corpCode.zip
phase1,company,"{""corp_code"": ""00126256""}",raw/company/00126256.json
phase1,company,"{""corp_code"": ""00139214""}",raw/company/00139214.json
phase1,company,"{""corp_code"": ""00159102""}",raw/company/00159102.json
phase1,company,"{""corp_code"": ""00168933""}",raw/company/00168933.json
phase1,company,"{""corp_code"": ""00112332""}",raw/company/00112332.json
phase1,list,"{""bgn_de"": ""19990101"", ""corp_code"": ""00126256"", ""end_de"": ""20260914"", ""last_reprt_at"": ""N"", ""page_count"": ""100"", ""page_no"": ""1""}",raw/list/00126256_19990101_20260914_p001.json
phase1,list,"{""bgn_de"": ""19990101"", ""corp_code"": ""00139214"", ""end_de"": ""20260914"", ""last_reprt_at"": ""N"", ""page_count"": ""100"", ""page_no"": ""1""}",raw/list/00139214_19990101_20260914_p001.json
phase1,list,"{""bgn_de"": ""19990101"", ""corp_code"": ""00159102"", ""end_de"": ""20260914"", ""last_reprt_at"": ""N"", ""page_count"": ""100"", ""page_no"": ""1""}",raw/list/00159102_19990101_20260914_p001.json
phase1,list,"{""bgn_de"": ""19990101"", ""corp_code"": ""00168933"", ""end_de"": ""20260914"", ""last_reprt_at"": ""N"", ""page_count"": ""100"", ""page_no"": ""1""}",raw/list/00168933_19990101_20260914_p001.json
phase1,list,"{""bgn_de"": ""19990101"", ""corp_code"": ""00112332"", ""end_de"": ""20260914"", ""last_reprt_at"": ""N"", ""page_count"": ""100"", ""page_no"": ""1""}",raw/list/00112332_19990101_20260914_p001.json
phase1,otrCprInvstmntSttus,"{""bsns_year"": ""2021"", ""corp_code"": ""00126256"", ""reprt_code"": ""11011""}",raw/otrCprInvstmntSttus/00126256_2021_11011.json
phase1,hyslrSttus,"{""bsns_year"": ""2021"", ""corp_code"": ""00126256"", ""reprt_code"": ""11011""}",raw/hyslrSttus/00126256_2021_11011.json
phase1,irdsSttus,"{""bsns_year"": ""2021"", ""corp_code"": ""00126256"", ""reprt_code"": ""11011""}",raw/irdsSttus/00126256_2021_11011.json
phase1,cprndNrdmpBlce,"{""bsns_year"": ""2021"", ""corp_code"": ""00126256"", ""reprt_code"": ""11011""}",raw/cprndNrdmpBlce/00126256_2021_11011.json
phase1,newCaplScritsNrdmpBlce,"{""bsns_year"": ""2021"", ""corp_code"": ""00126256"", ""reprt_code"": ""11011""}",raw/newCaplScritsNrdmpBlce/00126256_2021_11011.json
phase1,alotMatter,"{""bsns_year"": ""2021"", ""corp_code"": ""00126256"", ""reprt_code"": ""11011""}",raw/alotMatter/00126256_2021_11011.json
phase1,empSttus,"{""bsns_year"": ""2021"", ""corp_code"": ""00126256"", ""reprt_code"": ""11011""}",raw/empSttus/00126256_2021_11011.json
phase1,otrCprInvstmntSttus,"{""bsns_year"": ""2022"", ""corp_code"": ""00126256"", ""reprt_code"": ""11011""}",raw/otrCprInvstmntSttus/00126256_2022_11011.json
phase1,hyslrSttus,"{""bsns_year"": ""2022"", ""corp_code"": ""00126256"", ""reprt_code"": ""11011""}",raw/hyslrSttus/00126256_2022_11011.json
phase1,irdsSttus,"{""bsns_year"": ""2022"", ""corp_code"": ""00126256"", ""reprt_code"": ""11011""}",raw/irdsSttus/00126256_2022_11011.json
phase1,cprndNrdmpBlce,"{""bsns_year"": ""2022"", ""corp_code"": ""00126256"", ""reprt_code"": ""11011""}",raw/cprndNrdmpBlce/00126256_2022_11011.json
phase1,newCaplScritsNrdmpBlce,"{""bsns_year"": ""2022"", ""corp_code"": ""00126256"", ""reprt_code"": ""11011""}",raw/newCaplScritsNrdmpBlce/00126256_2022_11011.json
phase1,alotMatter,"{""bsns_year"": ""2022"", ""corp_code"": ""00126256"", ""reprt_code"": ""11011""}",raw/alotMatter/00126256_2022_11011.json
phase1,empSttus,"{""bsns_year"": ""2022"", ""corp_code"": ""00126256"", ""reprt_code"": ""11011""}",raw/empSttus/00126256_2022_11011.json
