run_id,started_at,script_sha,key_fingerprint,argv
run_20260831_150050,2026-08-31T15:00:50+09:00,8a7d8ba0ce0d,85312ceb,scripts/dart/run.py phase0
run_20260831_152517,2026-08-31T15:25:17+09:00,861a9fb15403,85312ceb,scripts/dart/run.py phase1
run_20260831_170752,2026-08-31T17:07:52+09:00,861a9fb15403,85312ceb,scripts/dart/run.py phase2
run_20260911_103248,2026-09-11T10:32:48+09:00,32edd0453a2d,85312ceb,"scripts/dart/run.py phase1 --only 메리츠화재해상보험,메리츠금융지주,우리은행,메리츠증권,교보생명보험"
run_20260911_110125,2026-09-11T11:01:25+09:00,4c38e64f7311,85312ceb,"scripts/dart/run.py phase2 --only 메리츠화재해상보험,메리츠금융지주,우리은행,메리츠증권,교보생명보험"
run_20260911_110652,2026-09-11T11:06:52+09:00,6d45fca6bdf2,85312ceb,"scripts/dart/run.py phase2 --only 메리츠화재해상보험,메리츠금융지주,우리은행,메리츠증권,교보생명보험"
run_20260911_132017,2026-09-11T13:20:17+09:00,a2c794ca397d,85312ceb,-
run_20260911_133721,2026-09-11T13:37:21+09:00,d3dde984d355,85312ceb,scripts/dart/run.py resolve
run_20260911_133722,2026-09-11T13:37:22+09:00,d3dde984d355,85312ceb,"scripts/dart/run.py phase1 --only 국민은행,하나은행(구),신한은행(구),동원증권,한국금융지주"
run_20260911_135259,2026-09-11T13:52:59+09:00,d3dde984d355,85312ceb,"scripts/dart/run.py phase2 --only 국민은행,하나은행(구),신한은행(구),동원증권,한국금융지주"
