corp_label,구분,fy,rcept_no,report_nm,rcept_dt,출처유형,판별어휘,출처섹션,중복여부,출처표수,겸직자,겸직회사,겸직회사_직위,겸직일자,상근여부,본인직위,담당업무,현직판별패턴,겸직대상_금융회사여부,원문헤더,원문행,fetched_at,status,raw_path,raw_sha256
iM금융지주,지주,2011,20120330000343,사업보고서 (2011.12),20120330,겸직표,대상 계열사,4. 계열회사 등의 현황,단독,1,하춘수,(주)DGB금융지주,회 장,2011.05,상근 (등기),,,,Y,성 명 | 대상 계열사 | 직 책 | 선임시기 | 비 고,하춘수 | (주)DGB금융지주 | 회 장 | 2011.05 | 상근 (등기),2026-08-31T17:08:45+09:00,000,raw/document/20120330000343.zip,c15c7f3278da07744e8831002573ed7379e5cb38d0d8c680a7752b1530922cb1
iM금융지주,지주,2011,20120330000343,사업보고서 (2011.12),20120330,겸직표,대상 계열사,4. 계열회사 등의 현황,미매핑,6,,,,,,,,,N,성 명 | 대상 계열사 | 직 책 | 선임시기 | 비 고,(주)대구은행 | 은행장 | 2012.03 | 상근 (등기),2026-08-31T17:08:45+09:00,000,raw/document/20120330000343.zip,c15c7f3278da07744e8831002573ed7379e5cb38d0d8c680a7752b1530922cb1
iM금융지주,지주,2011,20120330000343,사업보고서 (2011.12),20120330,겸직표,대상 계열사,4. 계열회사 등의 현황,단독,1,신덕열,(주)DGB금융지주,부사장,2011.05,상근 (미등기),,,,Y,성 명 | 대상 계열사 | 직 책 | 선임시기 | 비 고,신덕열 | (주)DGB금융지주 | 부사장 | 2011.05 | 상근 (미등기),2026-08-31T17:08:45+09:00,000,raw/document/20120330000343.zip,c15c7f3278da07744e8831002573ed7379e5cb38d0d8c680a7752b1530922cb1
iM금융지주,지주,2011,20120330000343,사업보고서 (2011.12),20120330,겸직표,대상 계열사,4. 계열회사 등의 현황,단독,1,최영수,(주)DGB금융지주,부사장,2012.01,상근 (미등기),,,,Y,성 명 | 대상 계열사 | 직 책 | 선임시기 | 비 고,최영수 | (주)DGB금융지주 | 부사장 | 2012.01 | 상근 (미등기),2026-08-31T17:08:45+09:00,000,raw/document/20120330000343.zip,c15c7f3278da07744e8831002573ed7379e5cb38d0d8c680a7752b1530922cb1
iM금융지주,지주,2011,20120330000343,사업보고서 (2011.12),20120330,겸직표,대상 계열사,4. 계열회사 등의 현황,단독,1,김종국,(주)DGB금융지주,부사장,2011.12,상근 (미등기),,,,Y,성 명 | 대상 계열사 | 직 책 | 선임시기 | 비 고,김종국 | (주)DGB금융지주 | 부사장 | 2011.12 | 상근 (미등기),2026-08-31T17:08:45+09:00,000,raw/document/20120330000343.zip,c15c7f3278da07744e8831002573ed7379e5cb38d0d8c680a7752b1530922cb1
BNK금융지주,지주,2011,20120330002741,사업보고서 (2011.12),20120330,겸직표,대상 계열사,4. 계열회사 등의 현황,단독,1,임영록,BS금융지주,부사장,2012.03,상근 (등기),,,,Y,성 명 | 대상 계열사 | 직 책 | 선임시기 | 비 고,임영록 | BS금융지주 | 부사장 | 2012.03 | 상근 (등기),2026-09-22T11:40:17+09:00,000,raw/document/20120330002741.zip,2b43a0eb336d5c8388fde578ed79b205c021f29b0523c989ff2a6207620b7b79
BNK금융지주,지주,2011,20120330002741,사업보고서 (2011.12),20120330,겸직표,대상 계열사,4. 계열회사 등의 현황,미매핑,4,,,,,,,,,N,성 명 | 대상 계열사 | 직 책 | 선임시기 | 비 고,BS투자증권 | 비상임이사 | 2011.05 | 비상근 (등기),2026-09-22T11:40:17+09:00,000,raw/document/20120330002741.zip,2b43a0eb336d5c8388fde578ed79b205c021f29b0523c989ff2a6207620b7b79
메리츠금융지주,지주,2012,20120629000621,사업보고서 (2012.03),20120629,겸직표,대상 계열사,4. 계열회사 등의 현황,단독,1,조정호(등기임원),메리츠화재,이사(회장),,상근,,,,Y,성명 | 대상 계열사 | 직책 | 비고,조정호(등기임원) | 메리츠화재 | 이사(회장) | 상근,2026-09-22T11:40:35+09:00,000,raw/document/20120629000621.zip,526e1f01b788da010179a4a904f1c0a2e622653ef7256358fd8aac88befba018
메리츠금융지주,지주,2012,20120629000621,사업보고서 (2012.03),20120629,겸직표,대상 계열사,4. 계열회사 등의 현황,미매핑,1,,,,,,,,,N,성명 | 대상 계열사 | 직책 | 비고,메리츠종합금융증권 | 이사(회장) | 비상근,2026-09-22T11:40:35+09:00,000,raw/document/20120629000621.zip,526e1f01b788da010179a4a904f1c0a2e622653ef7256358fd8aac88befba018
메리츠금융지주,지주,2012,20120629000621,사업보고서 (2012.03),20120629,겸직표,대상 계열사,4. 계열회사 등의 현황,단독,1,박의헌(등기임원),메리츠캐피탈,이사,,비상근,,,,Y,성명 | 대상 계열사 | 직책 | 비고,박의헌(등기임원) | 메리츠캐피탈 | 이사 | 비상근,2026-09-22T11:40:35+09:00,000,raw/document/20120629000621.zip,526e1f01b788da010179a4a904f1c0a2e622653ef7256358fd8aac88befba018
메리츠금융지주,지주,2012,20120629000621,사업보고서 (2012.03),20120629,겸직표,대상 계열사,4. 계열회사 등의 현황,단독,1,김국주(등기임원),메리츠자산운용,사외이사,,비상근,,,,Y,성명 | 대상 계열사 | 직책 | 비고,김국주(등기임원) | 메리츠자산운용 | 사외이사 | 비상근,2026-09-22T11:40:35+09:00,000,raw/document/20120629000621.zip,526e1f01b788da010179a4a904f1c0a2e622653ef7256358fd8aac88befba018
메리츠금융지주,지주,2012,20120629000621,사업보고서 (2012.03),20120629,겸직표,대상 계열사,4. 계열회사 등의 현황,단독,1,이준근(미등기임원),메리츠금융정보,감사,,비상근,,,,Y,성명 | 대상 계열사 | 직책 | 비고,이준근(미등기임원) | 메리츠금융정보 | 감사 | 비상근,2026-09-22T11:40:35+09:00,000,raw/document/20120629000621.zip,526e1f01b788da010179a4a904f1c0a2e622653ef7256358fd8aac88befba018
농협금융지주,지주,2012,20130329002244,사업보고서 (2012.12),20130329,겸직표,대상회사,4. 계열회사 등의 현황,단독,1,김주하,농협생명,사외이사,2012.03.02,,,,,Y,성명 | 대상회사 | 직위명 | 선임일,김주하 | 농협생명 | 사외이사 | 2012.03.02,2026-09-22T11:43:25+09:00,000,raw/document/20130329002244.zip,54ca584a404958b9e52fb9a2f1b82d24bc6a04c8d9858acdfddb4aa287c9db22
