corp_label,fy,rcept_no,report_nm,rcept_dt,설립첫해구분,성명,직위,등기임원여부,상근여부,담당업무_원문,주요경력,출생년월,성별,원문헤더,원문행,fetched_at,status,raw_path,raw_sha256
메리츠금융지주,2011,20110629000474,사업보고서 (2011.03),20110629,설립첫해(지정),박의헌,대표이사사장,등기임원,상근,총괄,연세대 경제학연세대 경영대학원 석사베인앤컴퍼니 컨설팅 이사부즈앨런해밀턴코리아 컨설팅부사장A.T.커니 컨설팅 부사장메리츠화재해상보험(주) 부사장,1964.05,,성명 | 출생년월 | 직위 | 등기임원여부 | 상근여부 | 담당업무 | 주요경력 | 소유주식수·보통주 | 소유주식수·우선주 | 재직기간 | 임기만료일,박의헌 | 1964.05 | 대표이사사장 | 등기임원 | 상근 | 총괄 | 연세대 경제학연세대 경영대학원 석사베인앤컴퍼니 컨설팅 이사부즈앨런해밀턴코리아 컨설팅부사장A.T.커니 컨설팅 부사장메리츠화재해상보험(주) 부사장 | - | - | 2011.06.22~현재 | 2014.06.21,2026-09-22T11:39:59+09:00,000,raw/document/20110629000474.zip,a8a1cfae4f5c489c76497049ac00dc7182d35ae1e34fa0b8270ef42dc4756c51
메리츠금융지주,2011,20110629000474,사업보고서 (2011.03),20110629,설립첫해(지정),강길만,이사,등기임원,상근,상근감사위원,건국대 수학교육학 금감원 보험계리실 실장 금감원 보험감독국 부국장 금감원 분쟁조정국 국장,1956.01,,성명 | 출생년월 | 직위 | 등기임원여부 | 상근여부 | 담당업무 | 주요경력 | 소유주식수·보통주 | 소유주식수·우선주 | 재직기간 | 임기만료일,강길만 | 1956.01 | 이사 | 등기임원 | 상근 | 상근감사위원 | 건국대 수학교육학 금감원 보험계리실 실장 금감원 보험감독국 부국장 금감원 분쟁조정국 국장 | - | - | 2011.03.28~현재 | 2014.06.21,2026-09-22T11:39:59+09:00,000,raw/document/20110629000474.zip,a8a1cfae4f5c489c76497049ac00dc7182d35ae1e34fa0b8270ef42dc4756c51
메리츠금융지주,2011,20110629000474,사업보고서 (2011.03),20110629,설립첫해(지정),김국주,사외이사,등기임원,비상근,"감사위원회 위원장, 보상위원회 위원, 사외이사후보추천위원회 위원, 감사위원후보추천위원회 위원",서울대 경제학 NewYork Univ. 경제학 석사 제주은행 은행장 금호종금 사외이사/감사위원장,1946.01,,성명 | 출생년월 | 직위 | 등기임원여부 | 상근여부 | 담당업무 | 주요경력 | 소유주식수·보통주 | 소유주식수·우선주 | 재직기간 | 임기만료일,"김국주 | 1946.01 | 사외이사 | 등기임원 | 비상근 | 감사위원회 위원장, 보상위원회 위원, 사외이사후보추천위원회 위원, 감사위원후보추천위원회 위원 | 서울대 경제학 NewYork Univ. 경제학 석사 제주은행 은행장 금호종금 사외이사/감사위원장 | - | - | 2011.03.28~현재 | 2014.06.21",2026-09-22T11:39:59+09:00,000,raw/document/20110629000474.zip,a8a1cfae4f5c489c76497049ac00dc7182d35ae1e34fa0b8270ef42dc4756c51
메리츠금융지주,2011,20110629000474,사업보고서 (2011.03),20110629,설립첫해(지정),김명직,사외이사,등기임원,비상근,감사위원후보추천위원회 위원,한양대 경제학Univ of Washington 경제학 석사/박사한국채권연구원 이사금융감독원 바젤 II 승인심사위원회 위원금융위원회 시장효율화위원회 위원장,1959.10,,성명 | 출생년월 | 직위 | 등기임원여부 | 상근여부 | 담당업무 | 주요경력 | 소유주식수·보통주 | 소유주식수·우선주 | 재직기간 | 임기만료일,김명직 | 1959.10 | 사외이사 | 등기임원 | 비상근 | 감사위원후보추천위원회 위원 | 한양대 경제학Univ of Washington 경제학 석사/박사한국채권연구원 이사금융감독원 바젤 II 승인심사위원회 위원금융위원회 시장효율화위원회 위원장 | - | - | 2011.06.22~현재 | 2014.06.21,2026-09-22T11:39:59+09:00,000,raw/document/20110629000474.zip,a8a1cfae4f5c489c76497049ac00dc7182d35ae1e34fa0b8270ef42dc4756c51
메리츠금융지주,2011,20110629000474,사업보고서 (2011.03),20110629,설립첫해(지정),강성룡,사외이사,등기임원,비상근,"감사위원회 위원, 보상위원회 위원, 리스크관리위원회 위원, 감사위원후보추천위원회 위원",美 심프슨대 경제학 美 메릴랜드주립대 경제학석사 Univ of Georgetown 법학박사 법무법인 세종 외국변호사 現삼성전기 사외이사/감사위원,1948.04,,성명 | 출생년월 | 직위 | 등기임원여부 | 상근여부 | 담당업무 | 주요경력 | 소유주식수·보통주 | 소유주식수·우선주 | 재직기간 | 임기만료일,"강성룡 | 1948.04 | 사외이사 | 등기임원 | 비상근 | 감사위원회 위원, 보상위원회 위원, 리스크관리위원회 위원, 감사위원후보추천위원회 위원 | 美 심프슨대 경제학 美 메릴랜드주립대 경제학석사 Univ of Georgetown 법학박사 법무법인 세종 외국변호사 現삼성전기 사외이사/감사위원 | - | - | 2011.03.28~현재 | 2014.06.21",2026-09-22T11:39:59+09:00,000,raw/document/20110629000474.zip,a8a1cfae4f5c489c76497049ac00dc7182d35ae1e34fa0b8270ef42dc4756c51
메리츠금융지주,2011,20110629000474,사업보고서 (2011.03),20110629,설립첫해(지정),김동원,사외이사,등기임원,비상근,"리스크관리위원회 위원, 감사위원후보추천위원회 위원",고려대 경제학 고려대 경제학 석/박사 금융감독원 부원장보 現 중소기업은행 사외이사,1953.03,,성명 | 출생년월 | 직위 | 등기임원여부 | 상근여부 | 담당업무 | 주요경력 | 소유주식수·보통주 | 소유주식수·우선주 | 재직기간 | 임기만료일,"김동원 | 1953.03 | 사외이사 | 등기임원 | 비상근 | 리스크관리위원회 위원, 감사위원후보추천위원회 위원 | 고려대 경제학 고려대 경제학 석/박사 금융감독원 부원장보 現 중소기업은행 사외이사 | - | - | 2011.03.28~현재 | 2014.06.21",2026-09-22T11:39:59+09:00,000,raw/document/20110629000474.zip,a8a1cfae4f5c489c76497049ac00dc7182d35ae1e34fa0b8270ef42dc4756c51
메리츠금융지주,2011,20110629000474,사업보고서 (2011.03),20110629,설립첫해(지정),정경태,상무보,미등기임원,상근,경영전략팀장,고려대학교 정치외교학과삼성화재 차장메리츠화재 상무보,1965.10,,성명 | 출생년월 | 직위 | 등기임원여부 | 상근여부 | 담당업무 | 주요경력 | 소유주식수·보통주 | 소유주식수·우선주 | 재직기간 | 임기만료일,정경태 | 1965.10 | 상무보 | 미등기임원 | 상근 | 경영전략팀장 | 고려대학교 정치외교학과삼성화재 차장메리츠화재 상무보 | - | - | 2011.03.28~현재 | -,2026-09-22T11:39:59+09:00,000,raw/document/20110629000474.zip,a8a1cfae4f5c489c76497049ac00dc7182d35ae1e34fa0b8270ef42dc4756c51
메리츠금융지주,2011,20110629000474,사업보고서 (2011.03),20110629,설립첫해(지정),김승문,상무보,미등기임원,상근,경영관리팀장,중앙대학교메리츠종금증권 상무보,1964.07,,성명 | 출생년월 | 직위 | 등기임원여부 | 상근여부 | 담당업무 | 주요경력 | 소유주식수·보통주 | 소유주식수·우선주 | 재직기간 | 임기만료일,김승문 | 1964.07 | 상무보 | 미등기임원 | 상근 | 경영관리팀장 | 중앙대학교메리츠종금증권 상무보 | - | - | 2011.03.28~현재 | -,2026-09-22T11:39:59+09:00,000,raw/document/20110629000474.zip,a8a1cfae4f5c489c76497049ac00dc7182d35ae1e34fa0b8270ef42dc4756c51
메리츠금융지주,2011,20110629000474,사업보고서 (2011.03),20110629,설립첫해(지정),유훈,상무보,미등기임원,상근,리스크관리팀장,호주 Macquarie 대학교 경제학과호주 KPMG 시니어한국 Ernst&young 본부장메리츠화재 상무보,1968.07,,성명 | 출생년월 | 직위 | 등기임원여부 | 상근여부 | 담당업무 | 주요경력 | 소유주식수·보통주 | 소유주식수·우선주 | 재직기간 | 임기만료일,유훈 | 1968.07 | 상무보 | 미등기임원 | 상근 | 리스크관리팀장 | 호주 Macquarie 대학교 경제학과호주 KPMG 시니어한국 Ernst&young 본부장메리츠화재 상무보 | - | - | 2011.03.28~현재 | -,2026-09-22T11:39:59+09:00,000,raw/document/20110629000474.zip,a8a1cfae4f5c489c76497049ac00dc7182d35ae1e34fa0b8270ef42dc4756c51
BNK금융지주,2011,20120330002741,사업보고서 (2011.12),20120330,설립첫해(최소연도),이장호,대표이사 회장,등기임원,상근,그룹경영총괄 (이사회운영위원회) (리스크관리위원회) (자회사CEO후보 추천위원회),65.02 부산상고 졸업 73.02 동아대 영문학과 졸업 86.08 동아대 대학원(경제행정학 석사) 06.02 부산대 국제전문대학원(국제학 석사) 06.03 ㈜부산은행 은행장 11.03 ㈜BS금융지주 대표이사 회장(現),1947.04,,성명 | 출생년월 | 직위 | 등기임원여부 | 상근여부 | 담당업무 | 주요경력 | 소유주식수·보통주 | 소유주식수·우선주 | 재직기간 | 임기만료일,"이장호 | 1947.04 | 대표이사 회장 | 등기임원 | 상근 | 그룹경영총괄 (이사회운영위원회) (리스크관리위원회) (자회사CEO후보 추천위원회) | 65.02 부산상고 졸업 73.02 동아대 영문학과 졸업 86.08 동아대 대학원(경제행정학 석사) 06.02 부산대 국제전문대학원(국제학 석사) 06.03 ㈜부산은행 은행장 11.03 ㈜BS금융지주 대표이사 회장(現) | 55,910 | - | - | 2014.03.15",2026-09-22T11:40:17+09:00,000,raw/document/20120330002741.zip,2b43a0eb336d5c8388fde578ed79b205c021f29b0523c989ff2a6207620b7b79
