지주명,공시연도,공시유형,구분,제목,파일명,방식,다운로드성공,실패사유,목록크기,실제크기,크기차이,페이지수,텍스트추출,텍스트글자수,스캔본추정,목차항목수,본문발견섹션수,섹션출처,목차없음,표수,표셀수,쪽당표셀,표추출신뢰도,sha256,url,fetched_at
BNK금융지주,2025,본공시,보수체계,[BNK금융지주] 2024년도 보수체계 연차보고서 수정 공시,BNK금융지주_보수체계연차보고서_2025_수정공시.pdf,GET,Y,,359132,359132,,6,Y,10920,N,0,2,본문표제,N,47,880,146.7,보통,7f3cbe232a9c63a6dcc76e1f07cdf5696a95bf1c33b9ae5f1a575806160402d8,https://www.bnkfg.com/download?seq=5980,2026-09-22T02:44:33+0000
BNK금융지주,,조직도,조직도,조직도 이미지,BNK금융지주_조직도_20250717.jpg,GET,Y,,,122246,,,-,,,,,,N,,,,,e727c52f8d4eafc211c9dd1a00b70abe4b4fb39a8e3a208fdf6fca15be65847a,https://www.bnkfg.com/images/contents/con1_6_20250717.jpg,2026-09-22T02:44:26+0000
BNK금융지주,2025,본공시,지배구조·보수체계 통합,[BNK금융지주] 2024년 지배구조 및 보수체계 연차보고서 공시,BNK금융지주_지배구조연차보고서_2025.pdf,GET,Y,,3769953,3769953,,381,Y,523246,N,17,16,목차,N,1157,69354,182.0,보통,8ce2becf482235b325a6e4cbc925d812a905eda83b2badcaac7b8eca90ceb5c2,https://www.bnkfg.com/download?seq=5976,2026-09-22T02:44:29+0000
BNK금융지주,2026,본공시,지배구조·보수체계 통합,[BNK금융지주] 2025년 지배구조 및 보수체계 연차보고서 공시,BNK금융지주_지배구조연차보고서_2026.pdf,GET,Y,,4004362,4004362,,419,Y,599357,N,17,16,목차,N,1289,76193,181.8,보통,b24014b2103b59a5746036c20c9269298cb42040e1f5687251a6a931dcf910b3,https://www.bnkfg.com/download?seq=6532,2026-09-22T02:44:36+0000
JB금융지주,,조직도,조직도,조직도 이미지,JB금융지주_조직도.svg,GET,Y,,,209579,,,-,,,,,,N,,,,,d5555293d57387b6184e8736fff24a2f7f43cda681b3f99f479c616200b16899,https://www.jbfg.com/assets/img/governance/img-organization.svg,2026-09-22T02:44:40+0000
JB금융지주,2025,본공시,지배구조·보수체계 통합,(JB금융지주) 2024년 지배구조 및 보수체계 연차보고서,JB금융지주_지배구조연차보고서_2025.pdf,GET,Y,,7640035,7640035,,343,Y,546702,N,53,822,본문표제,N,969,90426,263.6,보통,bbb79167f6b0f31cc1cfad9be9ad869fe305d4024e6f51fd9c7091be7d3ecc0f,https://www.jbfg.com/ko/file/download.do?id=31614734-513c-466b-e064-548028409014,2026-09-22T02:44:44+0000
JB금융지주,2026,본공시,지배구조·보수체계 통합,(JB금융지주) 2025년 지배구조 및 보수체계 연차보고서,JB금융지주_지배구조연차보고서_2026.pdf,GET,Y,,2995848,2995848,,301,Y,507681,N,42,471,본문표제,N,786,83240,276.5,보통,b130c5f736861b872d664679ae2c02bf6833d83c13a9e5de97f8cd78fbfa6720,https://www.jbfg.com/ko/file/download.do?id=766572e4-6f3c-4fe4-9769-40c667b3772e,2026-09-22T02:44:59+0000
JB금융지주,2026,정정공시,지배구조·보수체계 통합,(JB금융지주) 2025년 지배구조 및 보수체계 연차보고서(정정),JB금융지주_지배구조연차보고서_2026_정정공시.pdf,GET,Y,,4368482,4368482,,304,Y,488087,N,57,612,본문표제,N,799,83806,275.7,보통,559ad115acec0977f0c2ec9c1322b186d82acd85408c926a981fba564547ed84,https://www.jbfg.com/ko/file/download.do?id=af3022ef-4e61-4e5f-9cb8-aabf7c8730ce,2026-09-22T02:45:07+0000
KB금융지주,,조직도,조직도,조직도 이미지,KB금융지주_조직도_260101.png,GET,Y,,,33959,,,-,,,,,,N,,,,,e6829e1d76d668f8053a82adb55b2cd9b24cb806400de00269f9408088a8e178,https://www.kbfg.com/data/images/about/group/KBFG_Organization_kor_260101.png,2026-09-22T02:37:11+0000
KB금융지주,2025,본공시,지배구조·보수체계 통합,KB금융지주 「2024년 지배구조 및 보수체계 연차보고서」 공시,KB금융지주_지배구조연차보고서_2025.pdf,GET,Y,,5227868,5227868,,298,Y,511366,N,104,89,목차,N,851,60696,203.7,보통,3cf69bf55807083801fee2f0c965bc02bcb15a321a2e6f14b736c6f22a435ed9,https://www.kbfg.com/api/download/board/13249,2026-09-22T02:37:14+0000
