corp_label,구분,fy,rcept_no,report_nm,rcept_dt,section_title,table_index,row_index,위원회명,구성,소속이사명,설치목적및권한사항,비고,구분,열수일치,원문헤더,원문행,fetched_at,status,raw_path,raw_sha256
KB금융,,2008,20090331002885,사업보고서 (2008.12),20090331,가. 이사회제도에 관한 사항,18,0,이사회운영위원회,사외이사 5명상임이사 1명,,"- 기업지배구조에 대한 전반적인 논의 및 검토- 이사회와 각 위원회 운영의 효율화 및 기능의 활성화 등을 위한 방안검토 및 평가- '정관' 및 '이사회규정'을 검토하고 개선이 필요한 경우 이사회에 추천- 이사회, 각 위원회, 사외이사 활동 평가업무 주관 및 평가결과 이사회 보고- 이사회 및 위원회 일정과 안건 검토 및 각 위원회 안건 배분- 이사교육 프로그램개발 및 교육 모니터링- 각 위원회 위원 충원의 필요성 검토 및 위원 추천",-,,Y,위원회명 | 구성 | 성명 | 설치목적 및 권한사항 | 비 고,"이사회운영위원회 | 사외이사 5명상임이사 1명 | 정기영, 조 담임석식, 변보경김치중황영기 | - 기업지배구조에 대한 전반적인 논의 및 검토- 이사회와 각 위원회 운영의 효율화 및 기능의 활성화 등을 위한 방안검토 및 평가- '정관' 및 '이사회규정'을 검토하고 개선이 필요한 경우 이사회에 추천- 이사회, 각 위원회, 사외이사 활동 평가업무 주관 및 평가결과 이사회 보고- 이사회 및 위원회 일정과 안건 검토 및 각 위원회 안건 배분- 이사교육 프로그램개발 및 교육 모니터링- 각 위원회 위원 충원의 필요성 검토 및 위원 추천 | -",2026-08-31T17:08:12+09:00,000,raw/document/20090331002885.zip,5e75727975c151a0b2f1bc1a9ae2973667fc3ad1c1c8654befeca89ee64dedee
KB금융,,2008,20090331002885,사업보고서 (2008.12),20090331,가. 이사회제도에 관한 사항,18,1,경영전략위원회,사외이사 5명상임이사 2명,,"- 그룹차원의 중장기 경영전략 검토- 자회사등에 대한 출자 검토- 인수합병(M&A), 전략적 제휴 등 신규 전략사업 검토- 배당정책 등 주요 재무전략에 관한 사항 검토- 경영전략상 주요 사항에 대한 검토",-,,Y,위원회명 | 구성 | 성명 | 설치목적 및 권한사항 | 비 고,"경영전략위원회 | 사외이사 5명상임이사 2명 | 변보경, 정기영김 한, 강찬수Jacques Kemp황영기, 강정원 | - 그룹차원의 중장기 경영전략 검토- 자회사등에 대한 출자 검토- 인수합병(M&A), 전략적 제휴 등 신규 전략사업 검토- 배당정책 등 주요 재무전략에 관한 사항 검토- 경영전략상 주요 사항에 대한 검토 | -",2026-08-31T17:08:12+09:00,000,raw/document/20090331002885.zip,5e75727975c151a0b2f1bc1a9ae2973667fc3ad1c1c8654befeca89ee64dedee
KB금융,,2008,20090331002885,사업보고서 (2008.12),20090331,가. 이사회제도에 관한 사항,18,2,리스크관리위원회,사외이사 4명상임이사 1명,,- 경영전략에 부합하는 리스크관리 기본방침 수립- 부담가능한 리스크 수준의 결정- 자회사별 적정투자한도 또는 손실허용 한도 승인- 자회사별 자본의 배분에 관한 사항 검토,-,,Y,위원회명 | 구성 | 성명 | 설치목적 및 권한사항 | 비 고,"리스크관리위원회 | 사외이사 4명상임이사 1명 | 조 담, 임석식Jacques Kemp함상문김중회 | - 경영전략에 부합하는 리스크관리 기본방침 수립- 부담가능한 리스크 수준의 결정- 자회사별 적정투자한도 또는 손실허용 한도 승인- 자회사별 자본의 배분에 관한 사항 검토 | -",2026-08-31T17:08:12+09:00,000,raw/document/20090331002885.zip,5e75727975c151a0b2f1bc1a9ae2973667fc3ad1c1c8654befeca89ee64dedee
KB금융,,2008,20090331002885,사업보고서 (2008.12),20090331,가. 이사회제도에 관한 사항,18,3,평가보상위원회,사외이사 4명,,- 이사에 대한 전반적인 보상체계 및 보상 수준의 검토- 임직원에 대한 주식관련 보상계획 검토- 경영진의 성과평가 및 보상- 경영성과 제고방안 수립- 주요 경영진 승계 및 양성계획 수립- 사외이사후보군관리,-,,Y,위원회명 | 구성 | 성명 | 설치목적 및 권한사항 | 비 고,"평가보상위원회 | 사외이사 4명 | 김치중, 변보경함상문, 강찬수 | - 이사에 대한 전반적인 보상체계 및 보상 수준의 검토- 임직원에 대한 주식관련 보상계획 검토- 경영진의 성과평가 및 보상- 경영성과 제고방안 수립- 주요 경영진 승계 및 양성계획 수립- 사외이사후보군관리 | -",2026-08-31T17:08:12+09:00,000,raw/document/20090331002885.zip,5e75727975c151a0b2f1bc1a9ae2973667fc3ad1c1c8654befeca89ee64dedee
KB금융,,2008,20090331002885,사업보고서 (2008.12),20090331,가. 이사회제도에 관한 사항,18,4,감사위원회,사외이사 5명,,"- 재무감사, 준법감사, 업무감사, 경영감사, IT감사 등으로 구분되는 내부 감사계획의 수립, 감사실시, 감사결과 평가, 사후조치 및 개선 방안 제시- 내부통제시스템의 설계·운영에 대한 평가 및 개선방안 제시- 내부감사업무의 통할- 내부감사담당 부사장 및 감사부장의 임면에 대한 동의- 외부감사인 선임 및 해임에 대한 승인- 외부감사인과의 각종 계약에 대한 사전 승인- 외부감사인의 감사활동에 대한 평가- 외부감사인의 감사결과 및 감사관련 각종 보고의 청취 및 검토 - 관계법령 또는 정관에서 정한 사항과 이사회가 위임한 사항의 처리",-,,Y,위원회명 | 구성 | 성명 | 설치목적 및 권한사항 | 비 고,"감사위원회 | 사외이사 5명 | 임석식, 정기영조 담, 김 한김치중 | - 재무감사, 준법감사, 업무감사, 경영감사, IT감사 등으로 구분되는 내부 감사계획의 수립, 감사실시, 감사결과 평가, 사후조치 및 개선 방안 제시- 내부통제시스템의 설계·운영에 대한 평가 및 개선방안 제시- 내부감사업무의 통할- 내부감사담당 부사장 및 감사부장의 임면에 대한 동의- 외부감사인 선임 및 해임에 대한 승인- 외부감사인과의 각종 계약에 대한 사전 승인- 외부감사인의 감사활동에 대한 평가- 외부감사인의 감사결과 및 감사관련 각종 보고의 청취 및 검토 - 관계법령 또는 정관에서 정한 사항과 이사회가 위임한 사항의 처리 | -",2026-08-31T17:08:12+09:00,000,raw/document/20090331002885.zip,5e75727975c151a0b2f1bc1a9ae2973667fc3ad1c1c8654befeca89ee64dedee
KB금융,,2008,20090331002885,사업보고서 (2008.12),20090331,가. 이사회제도에 관한 사항,20,5,이사회운영위원회,사외이사 5명상임이사 1명,,"- 기업지배구조에 대한 전반적인 논의 및 검토- 이사회와 각 위원회 운영의 효율화 및 기능의 활성화 등을 위한 방안검토 및 평가- '정관' 및 '이사회규정'을 검토하고 개선이 필요한 경우 이사회에 추천- 이사회, 각 위원회, 사외이사 활동 평가업무 주관 및 평가결과 이사회 보고- 이사회 및 위원회 일정과 안건 검토 및 각 위원회 안건 배분- 이사교육 프로그램개발 및 교육 모니터링- 각 위원회 위원 충원의 필요성 검토 및 위원 추천",-,,Y,위원회명 | 구성 | 성명 | 설치목적 및 권한사항 | 비 고,"이사회운영위원회 | 사외이사 5명상임이사 1명 | 조 담, 변보경함상문, 김치중강찬수황영기 | - 기업지배구조에 대한 전반적인 논의 및 검토- 이사회와 각 위원회 운영의 효율화 및 기능의 활성화 등을 위한 방안검토 및 평가- '정관' 및 '이사회규정'을 검토하고 개선이 필요한 경우 이사회에 추천- 이사회, 각 위원회, 사외이사 활동 평가업무 주관 및 평가결과 이사회 보고- 이사회 및 위원회 일정과 안건 검토 및 각 위원회 안건 배분- 이사교육 프로그램개발 및 교육 모니터링- 각 위원회 위원 충원의 필요성 검토 및 위원 추천 | -",2026-08-31T17:08:12+09:00,000,raw/document/20090331002885.zip,5e75727975c151a0b2f1bc1a9ae2973667fc3ad1c1c8654befeca89ee64dedee
KB금융,,2008,20090331002885,사업보고서 (2008.12),20090331,가. 이사회제도에 관한 사항,20,6,경영전략위원회,사외이사 4명상임이사 2명,,"- 그룹차원의 중장기 경영전략 검토- 자회사등에 대한 출자 검토- 인수합병(M&A), 전략적 제휴 등 신규 전략사업 검토- 배당정책 등 주요 재무전략에 관한 사항 검토- 경영전략상 주요 사항에 대한 검토",-,,Y,위원회명 | 구성 | 성명 | 설치목적 및 권한사항 | 비 고,"경영전략위원회 | 사외이사 4명상임이사 2명 | 함상문Jacques Kemp김 한, 조재목황영기, 강정원 | - 그룹차원의 중장기 경영전략 검토- 자회사등에 대한 출자 검토- 인수합병(M&A), 전략적 제휴 등 신규 전략사업 검토- 배당정책 등 주요 재무전략에 관한 사항 검토- 경영전략상 주요 사항에 대한 검토 | -",2026-08-31T17:08:12+09:00,000,raw/document/20090331002885.zip,5e75727975c151a0b2f1bc1a9ae2973667fc3ad1c1c8654befeca89ee64dedee
KB금융,,2008,20090331002885,사업보고서 (2008.12),20090331,가. 이사회제도에 관한 사항,20,7,리스크관리위원회,사외이사 5명상임이사 1명,,- 경영전략에 부합하는 리스크관리 기본방침 수립- 부담가능한 리스크 수준의 결정- 자회사별 적정투자한도 또는 손실허용 한도 승인- 자회사별 자본의 배분에 관한 사항 검토,-,,Y,위원회명 | 구성 | 성명 | 설치목적 및 권한사항 | 비 고,"리스크관리위원회 | 사외이사 5명상임이사 1명 | 강찬수, 조 담Jacques Kemp임석식, 함상문김중회 | - 경영전략에 부합하는 리스크관리 기본방침 수립- 부담가능한 리스크 수준의 결정- 자회사별 적정투자한도 또는 손실허용 한도 승인- 자회사별 자본의 배분에 관한 사항 검토 | -",2026-08-31T17:08:12+09:00,000,raw/document/20090331002885.zip,5e75727975c151a0b2f1bc1a9ae2973667fc3ad1c1c8654befeca89ee64dedee
KB금융,,2008,20090331002885,사업보고서 (2008.12),20090331,가. 이사회제도에 관한 사항,20,8,평가보상위원회,사외이사 4명,,- 이사에 대한 전반적인 보상체계 및 보상 수준의 검토- 임직원에 대한 주식관련 보상계획 검토- 경영진의 성과평가 및 보상- 경영성과 제고방안 수립- 주요 경영진 승계 및 양성계획 수립- 사외이사후보군관리,-,,Y,위원회명 | 구성 | 성명 | 설치목적 및 권한사항 | 비 고,"평가보상위원회 | 사외이사 4명 | 변보경, 김 한김치중, 조재목 | - 이사에 대한 전반적인 보상체계 및 보상 수준의 검토- 임직원에 대한 주식관련 보상계획 검토- 경영진의 성과평가 및 보상- 경영성과 제고방안 수립- 주요 경영진 승계 및 양성계획 수립- 사외이사후보군관리 | -",2026-08-31T17:08:12+09:00,000,raw/document/20090331002885.zip,5e75727975c151a0b2f1bc1a9ae2973667fc3ad1c1c8654befeca89ee64dedee
KB금융,,2008,20090331002885,사업보고서 (2008.12),20090331,가. 이사회제도에 관한 사항,20,9,감사위원회,사외이사 5명,,"- 재무감사, 준법감사, 업무감사, 경영감사, IT감사 등으로 구분되는 내부 감사계획의 수립, 감사실시, 감사결과 평가, 사후조치 및 개선 방안 제시- 내부통제시스템의 설계·운영에 대한 평가 및 개선방안 제시- 내부감사업무의 통할- 내부감사담당 부사장 및 감사부장의 임면에 대한 동의- 외부감사인 선임 및 해임에 대한 승인- 외부감사인과의 각종 계약에 대한 사전 승인- 외부감사인의 감사활동에 대한 평가- 외부감사인의 감사결과 및 감사관련 각종 보고의 청취 및 검토 - 관계법령 또는 정관에서 정한 사항과 이사회가 위임한 사항의 처리",-,,Y,위원회명 | 구성 | 성명 | 설치목적 및 권한사항 | 비 고,"감사위원회 | 사외이사 5명 | 김치중, 조 담임석식, 변보경강찬수 | - 재무감사, 준법감사, 업무감사, 경영감사, IT감사 등으로 구분되는 내부 감사계획의 수립, 감사실시, 감사결과 평가, 사후조치 및 개선 방안 제시- 내부통제시스템의 설계·운영에 대한 평가 및 개선방안 제시- 내부감사업무의 통할- 내부감사담당 부사장 및 감사부장의 임면에 대한 동의- 외부감사인 선임 및 해임에 대한 승인- 외부감사인과의 각종 계약에 대한 사전 승인- 외부감사인의 감사활동에 대한 평가- 외부감사인의 감사결과 및 감사관련 각종 보고의 청취 및 검토 - 관계법령 또는 정관에서 정한 사항과 이사회가 위임한 사항의 처리 | -",2026-08-31T17:08:12+09:00,000,raw/document/20090331002885.zip,5e75727975c151a0b2f1bc1a9ae2973667fc3ad1c1c8654befeca89ee64dedee
