corp_label,구분,fy,rcept_no,report_nm,rcept_dt,section_title,table_index,row_index,원문헤더,원문행,비고_원문,겸직인원_언급,fetched_at,status,raw_path,raw_sha256
iM금융지주,지주,2011,20120330000343,사업보고서 (2011.12),20120330,II. 사업의 내용,5,0,사업부문 | 내 용,"금융지주업 | 자회사에 대한 자금 지원, 경영관리 업무 등",,N,2026-08-31T17:08:45+09:00,000,raw/document/20120330000343.zip,c15c7f3278da07744e8831002573ed7379e5cb38d0d8c680a7752b1530922cb1
iM금융지주,지주,2011,20120330000343,사업보고서 (2011.12),20120330,II. 사업의 내용,5,1,사업부문 | 내 용,은행업 | 일반대중으로부터 예금 등의 형태로 취득한 자금을 주 재원으로 하여 자금수요자에게 장.단기 대출형식으로 자금을 공급하는 업무 등,,N,2026-08-31T17:08:45+09:00,000,raw/document/20120330000343.zip,c15c7f3278da07744e8831002573ed7379e5cb38d0d8c680a7752b1530922cb1
iM금융지주,지주,2011,20120330000343,사업보고서 (2011.12),20120330,직원 현황,1,2,사업부문 | 성별 | 직 원 수·정규직 | 직 원 수·계약직 | 직 원 수·기 타 | 직 원 수·합 계 | 평 균근속연수 | 연간급여총 액 | 1인평균급여액 | 비고,"금융업 | 남 | 27 | 8 | 8 | 43 | 0 | 2,331 | 54 | 기타 : 겸직",,N,2026-08-31T17:08:45+09:00,000,raw/document/20120330000343.zip,c15c7f3278da07744e8831002573ed7379e5cb38d0d8c680a7752b1530922cb1
iM금융지주,지주,2011,20120330000343,사업보고서 (2011.12),20120330,직원 현황,1,3,사업부문 | 성별 | 직 원 수·정규직 | 직 원 수·계약직 | 직 원 수·기 타 | 직 원 수·합 계 | 평 균근속연수 | 연간급여총 액 | 1인평균급여액 | 비고,금융업 | 녀 | - | 3 | 1 | 4 | 0 | 37 | 9 | 기타 : 겸직,,N,2026-08-31T17:08:45+09:00,000,raw/document/20120330000343.zip,c15c7f3278da07744e8831002573ed7379e5cb38d0d8c680a7752b1530922cb1
iM금융지주,지주,2011,20120330000343,사업보고서 (2011.12),20120330,직원 현황,1,4,사업부문 | 성별 | 직 원 수·정규직 | 직 원 수·계약직 | 직 원 수·기 타 | 직 원 수·합 계 | 평 균근속연수 | 연간급여총 액 | 1인평균급여액 | 비고,"합 계 | 27 | 11 | 9 | 47 | - | 2,368 | 50 | -",,N,2026-08-31T17:08:45+09:00,000,raw/document/20120330000343.zip,c15c7f3278da07744e8831002573ed7379e5cb38d0d8c680a7752b1530922cb1
BNK금융지주,지주,2011,20120330002741,사업보고서 (2011.12),20120330,II. 사업의 내용,3,5,사업부문 | 내 용,"금융지주업 | 자회사에 대한 자금 지원, 경영관리 업무 등",,N,2026-09-22T11:40:17+09:00,000,raw/document/20120330002741.zip,2b43a0eb336d5c8388fde578ed79b205c021f29b0523c989ff2a6207620b7b79
BNK금융지주,지주,2011,20120330002741,사업보고서 (2011.12),20120330,II. 사업의 내용,3,6,사업부문 | 내 용,은행업 | 일반대중으로부터 예금 등의 형태로 취득한 자금을 주 재원으로 하여 자금수요자에게 장.단기 대출형식으로 자금을 공급하는 업무 등,,N,2026-09-22T11:40:17+09:00,000,raw/document/20120330002741.zip,2b43a0eb336d5c8388fde578ed79b205c021f29b0523c989ff2a6207620b7b79
BNK금융지주,지주,2011,20120330002741,사업보고서 (2011.12),20120330,II. 사업의 내용,3,7,사업부문 | 내 용,"금융투자업 | 투자매매업,투자중개업,투자일임업 등",,N,2026-09-22T11:40:17+09:00,000,raw/document/20120330002741.zip,2b43a0eb336d5c8388fde578ed79b205c021f29b0523c989ff2a6207620b7b79
BNK금융지주,지주,2011,20120330002741,사업보고서 (2011.12),20120330,II. 사업의 내용,3,8,사업부문 | 내 용,"여신전문업 | 할부금융업,시설대여업, 일반대출 등",,N,2026-09-22T11:40:17+09:00,000,raw/document/20120330002741.zip,2b43a0eb336d5c8388fde578ed79b205c021f29b0523c989ff2a6207620b7b79
BNK금융지주,지주,2011,20120330002741,사업보고서 (2011.12),20120330,직원 현황,1,9,사업부문 | 성별 | 직 원 수·정규직 | 직 원 수·계약직 | 직 원 수·기 타 | 직 원 수·합 계 | 평 균근속연수 | 연간급여총 액 | 1인평균급여액 | 비고,"금융업 | 남 | 20 | 4 | 19 | 43 | 8개월 | 1,924 | 45 | 기타 : 겸직직원",기타 : 겸직직원,Y,2026-09-22T11:40:17+09:00,000,raw/document/20120330002741.zip,2b43a0eb336d5c8388fde578ed79b205c021f29b0523c989ff2a6207620b7b79
BNK금융지주,지주,2011,20120330002741,사업보고서 (2011.12),20120330,직원 현황,1,10,사업부문 | 성별 | 직 원 수·정규직 | 직 원 수·계약직 | 직 원 수·기 타 | 직 원 수·합 계 | 평 균근속연수 | 연간급여총 액 | 1인평균급여액 | 비고,금융업 | 녀 | - | 2 | - | 2 | 2개월 | 26 | 13 | -,기타 : 겸직직원,Y,2026-09-22T11:40:17+09:00,000,raw/document/20120330002741.zip,2b43a0eb336d5c8388fde578ed79b205c021f29b0523c989ff2a6207620b7b79
BNK금융지주,지주,2011,20120330002741,사업보고서 (2011.12),20120330,직원 현황,1,11,사업부문 | 성별 | 직 원 수·정규직 | 직 원 수·계약직 | 직 원 수·기 타 | 직 원 수·합 계 | 평 균근속연수 | 연간급여총 액 | 1인평균급여액 | 비고,"합 계 | 20 | 6 | 19 | 45 | 8개월 | 1,950 | 43 | -",기타 : 겸직직원,Y,2026-09-22T11:40:17+09:00,000,raw/document/20120330002741.zip,2b43a0eb336d5c8388fde578ed79b205c021f29b0523c989ff2a6207620b7b79
농협금융지주,지주,2012,20130329002244,사업보고서 (2012.12),20130329,1. 임원 및 직원의 현황,5,12,사업부문 | 성별 | 직 원 수·정규직 | 직 원 수·계약직 | 직 원 수·기 타 | 직 원 수·합 계 | 평 균근속연수 | 연간급여총 액 | 1인평균급여액 | 비고,"금융지주 | 남 | 78 | - | - | 78 | 10개월 | 6,156 | 79 | -",,N,2026-09-22T11:43:25+09:00,000,raw/document/20130329002244.zip,54ca584a404958b9e52fb9a2f1b82d24bc6a04c8d9858acdfddb4aa287c9db22
농협금융지주,지주,2012,20130329002244,사업보고서 (2012.12),20130329,1. 임원 및 직원의 현황,5,13,사업부문 | 성별 | 직 원 수·정규직 | 직 원 수·계약직 | 직 원 수·기 타 | 직 원 수·합 계 | 평 균근속연수 | 연간급여총 액 | 1인평균급여액 | 비고,여 | 7 | 7 | 3 | 17 | 9개월 | 599 | 35 | -,,N,2026-09-22T11:43:25+09:00,000,raw/document/20130329002244.zip,54ca584a404958b9e52fb9a2f1b82d24bc6a04c8d9858acdfddb4aa287c9db22
