지주명,구분,공시연도,공시일,제목,저장 파일명,크기(bytes),URL
KB금융지주,조직도,,,조직도 이미지,KB금융지주_조직도_260101.png,,https://www.kbfg.com/data/images/about/group/KBFG_Organization_kor_260101.png
KB금융지주,지배구조·보수체계 통합,2025,2025-03-05,KB금융지주 「2024년 지배구조 및 보수체계 연차보고서」 공시,KB금융지주_지배구조연차보고서_2025.pdf,5227868,https://www.kbfg.com/api/download/board/13249
KB금융지주,지배구조·보수체계 통합,2025,2025-04-15,KB금융지주 「2024년 지배구조 및 보수체계 연차보고서」 (추가공시),KB금융지주_지배구조연차보고서_2025_추가공시.pdf,5233092,https://www.kbfg.com/api/download/board/13406
KB금융지주,지배구조·보수체계 통합,2026,2026-03-04,KB금융지주 「2025년 지배구조 및 보수체계 연차보고서」 공시,KB금융지주_지배구조연차보고서_2026.pdf,5669325,https://www.kbfg.com/api/download/board/14406
KB금융지주,지배구조·보수체계 통합,2026,2026-04-15,KB금융지주 「2025년 지배구조 및 보수체계 연차보고서」 추가 공시,KB금융지주_지배구조연차보고서_2026_추가공시.pdf,5578553,https://www.kbfg.com/api/download/board/14548
신한금융지주,조직도,,,조직도 이미지,신한금융지주_조직도.png,,https://www.shinhangroup.com/resources/publish/kr/images/about/pc_og_chart.png
신한금융지주,지배구조·보수체계 통합,2025,2025-03-05,신한금융지주회사 2024 지배구조 및 보수체계 연차보고서 공시,신한금융지주_지배구조연차보고서_2025.pdf,5347257,https://www.shinhangroup.com/main/downloadAttach?attachNo=89c02dba8a00489786c9fbb6c301a0ee&seq=1
신한금융지주,지배구조·보수체계 통합,2025,2025-03-31,신한금융지주 2024 지배구조 및 보수체계 연차보고서 추가공시,신한금융지주_지배구조연차보고서_2025_추가공시.pdf,5340770,https://www.shinhangroup.com/main/downloadAttach?attachNo=7729d787f8314307b4af6eb88e3db129&seq=1
신한금융지주,지배구조·보수체계 통합,2026,2026-03-06,신한금융지주회사 2025 지배구조 및 보수체계 연차보고서 공시,신한금융지주_지배구조연차보고서_2026.pdf,5381005,https://www.shinhangroup.com/main/downloadAttach?attachNo=55653e68caad4dffa2f2e55c8401e6cb&seq=1
신한금융지주,지배구조·보수체계 통합,2026,2026-04-08,신한금융지주 2025 지배구조 및 보수체계 연차보고서 추가공시,신한금융지주_지배구조연차보고서_2026_추가공시.pdf,4857121,https://www.shinhangroup.com/main/downloadAttach?attachNo=a59412ed0c2e4098be5da990f99f3a51&seq=1
하나금융지주,조직도,,,조직도 이미지,하나금융지주_조직도_20260805.png,,https://www.hanafn.com:8002/upload/common/upeditor/10000024/20260810//20260810055004497.png
하나금융지주,지배구조·보수체계 통합,2025,2025-02-28,2024 하나금융지주 지배구조 및 보수체계 연차보고서,하나금융지주_지배구조연차보고서_2025.pdf,12600429,https://www.hanafn.com:8002/download/10062414/crossDownload.do
하나금융지주,지배구조·보수체계 통합,2025,2025-04-09,2024 하나금융지주 지배구조 및 보수체계 연차보고서(추가공시),하나금융지주_지배구조연차보고서_2025_추가공시.pdf,12608353,https://www.hanafn.com:8002/download/10063128/crossDownload.do
하나금융지주,지배구조·보수체계 통합,2026,2026-02-27,2025 하나금융지주 지배구조 및 보수체계 연차보고서,하나금융지주_지배구조연차보고서_2026.pdf,12500523,https://www.hanafn.com:8002/download/10072114/crossDownload.do
하나금융지주,지배구조·보수체계 통합,2026,2026-04-08,2025 하나금융지주 지배구조 및 보수체계 연차보고서(추가공시),하나금융지주_지배구조연차보고서_2026_추가공시.pdf,12509331,https://www.hanafn.com:8002/download/10072555/crossDownload.do
우리금융지주,조직도,,,조직도 이미지,우리금융지주_조직도_202602.png,,https://www.woorifg.com/common/images/organization_img_new.png
우리금융지주,지배구조·보수체계 통합,2025,2025-02-28,2024 년도 지배구조 및 보상체계 연차보고서 공시,우리금융지주_지배구조연차보고서_2025.pdf,3832437,https://www.woorifg.com/cmm/fms/FileDown.do?fileId=FILE_000000000003279&saveFileNm=202504160441575230.pdf&fileSeq=0
